"","V1","V2","V3"
"1",50000,51,88
"2",50000,50,86
"3",50000,49,85
"4",50000,50,83
"5",50000,50,85
"6",50000,50,84
"7",50000,52,86
"8",50000,49,84
"9",50000,50,94
"10",50000,51,84
"11",50000,52,86
"12",50000,50,82
"13",50000,53,88
"14",50000,49,88
"15",50000,51,85
"16",50000,51,88
"17",50000,50,91
"18",50000,52,90
"19",50000,51,85
"20",50000,50,85
"21",50000,49,85
"22",50000,50,85
"23",50000,49,85
"24",50000,50,86
"25",50000,50,89
"26",50000,51,88
"27",50000,50,87
"28",50000,51,85
"29",50000,50,87
"30",50000,50,84
"31",50000,50,89
"32",50000,50,85
"33",50000,49,90
"34",50000,51,85
"35",50000,49,85
"36",50000,50,88
"37",50000,52,88
"38",50000,50,86
"39",50000,49,85
"40",50000,50,84
"41",50000,51,88
"42",50000,50,86
"43",50000,51,92
"44",50000,51,85
"45",50000,50,86
"46",50000,50,91
"47",50000,49,85
"48",50000,51,86
"49",50000,49,84
"50",50000,50,89
"51",50000,52,83
"52",50000,50,86
"53",50000,51,82
"54",50000,50,90
"55",50000,50,84
"56",50000,52,87
"57",50000,51,87
"58",50000,50,88
"59",50000,49,84
"60",50000,51,88
"61",50000,51,87
"62",50000,50,89
"63",50000,50,88
"64",50000,50,85
"65",50000,50,86
"66",50000,52,87
"67",50000,50,85
"68",50000,50,88
"69",50000,50,92
"70",50000,50,84
"71",50000,50,83
"72",50000,50,89
"73",50000,50,82
"74",50000,50,87
"75",50000,50,84
"76",50000,49,86
"77",50000,50,91
"78",50000,51,96
"79",50000,52,93
"80",50000,51,89
"81",50000,52,84
"82",50000,49,85
"83",50000,50,85
"84",50000,52,92
"85",50000,50,87
"86",50000,50,87
"87",50000,50,84
"88",50000,53,85
"89",50000,49,87
"90",50000,52,88
"91",50000,51,94
"92",50000,51,84
"93",50000,50,91
"94",50000,51,88
"95",50000,50,87
"96",50000,50,91
"97",50000,50,86
"98",50000,51,87
"99",50000,49,86
"100",50000,52,86
