"","V1","V2","V3"
"1",10000,9,19
"2",10000,9,20
"3",10000,9,19
"4",10000,9,20
"5",10000,9,20
"6",10000,9,20
"7",10000,9,20
"8",10000,9,20
"9",10000,9,20
"10",10000,9,19
"11",50000,9,21
"12",50000,9,21
"13",50000,10,22
"14",50000,9,19
"15",50000,9,21
"16",50000,10,21
"17",50000,9,20
"18",50000,9,21
"19",50000,10,21
"20",50000,10,20
"21",1e+05,10,20
"22",1e+05,10,20
"23",1e+05,10,20
"24",1e+05,10,21
"25",1e+05,9,20
"26",1e+05,10,21
"27",1e+05,10,25
"28",1e+05,9,22
"29",1e+05,9,20
"30",1e+05,9,22
