"","V1","V2","V3"
"1",10000,48,81
"2",10000,51,81
"3",10000,49,81
"4",10000,51,83
"5",10000,48,80
"6",10000,49,86
"7",10000,49,80
"8",10000,51,83
"9",10000,49,82
"10",10000,50,85
"11",50000,50,83
"12",50000,52,84
"13",50000,51,84
"14",50000,50,88
"15",50000,50,91
"16",50000,49,90
"17",50000,51,87
"18",50000,52,90
"19",50000,50,87
"20",50000,49,89
"21",1e+05,50,92
"22",1e+05,50,88
"23",1e+05,50,83
"24",1e+05,53,96
"25",1e+05,50,92
"26",1e+05,52,88
"27",1e+05,53,86
"28",1e+05,51,86
"29",1e+05,49,86
"30",1e+05,53,92
