"","V1","V2","V3"
"1",50000,9,22
"2",50000,10,21
"3",50000,9,20
"4",50000,9,20
"5",50000,9,20
"6",50000,9,20
"7",50000,9,20
"8",50000,9,20
"9",50000,9,21
"10",50000,10,21
"11",50000,10,20
"12",50000,9,20
"13",50000,9,19
"14",50000,10,20
"15",50000,10,22
"16",50000,9,21
"17",50000,10,21
"18",50000,10,21
"19",50000,10,24
"20",50000,9,20
"21",50000,10,20
"22",50000,9,21
"23",50000,9,21
"24",50000,9,20
"25",50000,10,19
"26",50000,9,22
"27",50000,9,21
"28",50000,9,20
"29",50000,9,20
"30",50000,10,25
"31",50000,9,20
"32",50000,10,20
"33",50000,10,21
"34",50000,9,20
"35",50000,9,20
"36",50000,9,20
"37",50000,9,21
"38",50000,10,20
"39",50000,10,21
"40",50000,9,20
"41",50000,9,20
"42",50000,10,20
"43",50000,9,20
"44",50000,9,21
"45",50000,9,21
"46",50000,9,20
"47",50000,9,21
"48",50000,9,21
"49",50000,9,20
"50",50000,9,21
"51",50000,9,22
"52",50000,9,20
"53",50000,9,22
"54",50000,9,21
"55",50000,10,20
"56",50000,9,20
"57",50000,9,22
"58",50000,10,19
"59",50000,10,20
"60",50000,9,22
"61",50000,9,20
"62",50000,10,20
"63",50000,9,20
"64",50000,9,21
"65",50000,10,24
"66",50000,9,21
"67",50000,10,21
"68",50000,10,20
"69",50000,9,21
"70",50000,10,20
"71",50000,9,19
"72",50000,9,20
"73",50000,9,20
"74",50000,9,20
"75",50000,9,21
"76",50000,9,21
"77",50000,9,20
"78",50000,10,19
"79",50000,9,20
"80",50000,9,20
"81",50000,9,19
"82",50000,9,21
"83",50000,9,20
"84",50000,10,21
"85",50000,9,21
"86",50000,10,20
"87",50000,10,20
"88",50000,9,22
"89",50000,9,19
"90",50000,9,20
"91",50000,9,21
"92",50000,9,21
"93",50000,9,20
"94",50000,9,20
"95",50000,9,23
"96",50000,10,21
"97",50000,10,20
"98",50000,9,19
"99",50000,9,21
"100",50000,10,21
