"","V1","V2","V3"
"1",10000,9,19
"2",10000,9,21
"3",10000,9,20
"4",10000,9,20
"5",10000,9,20
"6",10000,10,19
"7",10000,9,19
"8",10000,9,20
"9",10000,9,19
"10",10000,9,20
"11",50000,9,20
"12",50000,9,20
"13",50000,9,21
"14",50000,9,19
"15",50000,9,20
"16",50000,9,19
"17",50000,9,21
"18",50000,9,21
"19",50000,10,21
"20",50000,10,20
"21",1e+05,10,20
"22",1e+05,10,20
"23",1e+05,9,22
"24",1e+05,10,22
"25",1e+05,10,24
"26",1e+05,9,21
"27",1e+05,10,20
"28",1e+05,10,20
"29",1e+05,10,22
"30",1e+05,9,22
"31",2e+05,10,21
"32",2e+05,9,22
"33",2e+05,10,21
"34",2e+05,10,23
"35",2e+05,10,24
"36",2e+05,10,21
"37",2e+05,10,21
"38",2e+05,10,22
"39",2e+05,10,22
"40",2e+05,9,21
"41",5e+05,10,23
"42",5e+05,10,23
"43",5e+05,10,22
"44",5e+05,10,22
"45",5e+05,10,23
"46",5e+05,10,26
"47",5e+05,10,23
"48",5e+05,10,23
"49",5e+05,10,21
"50",5e+05,10,23
