"","V1","V2","V3"
"1",10000,9,21
"2",10000,10,19
"3",1e+05,10,20
"4",1e+05,9,20
"5",1e+05,9,20
"6",1e+05,10,21
"7",1e+05,10,20
"8",1e+05,10,20
"9",1e+05,10,22
"10",1e+05,10,21
"11",50000,10,24
"12",50000,9,21
"13",5e+05,10,25
"14",5e+05,10,21
"15",5e+05,10,21
"16",5e+05,10,22
"17",5e+05,10,24
"18",5e+05,10,21
"19",5e+05,10,22
"20",5e+05,10,23
"21",1e+05,9,20
"22",1e+05,9,21
"23",1e+06,10,23
