"","V1","V2","V3"
"1",10000,12,23
"2",10000,12,25
"3",10000,12,23
"4",10000,12,22
"5",10000,13,24
"6",10000,12,25
"7",10000,12,27
"8",10000,12,23
"9",10000,12,23
"10",10000,12,25
"11",50000,12,24
"12",50000,13,25
"13",50000,12,25
"14",50000,13,24
"15",50000,13,25
"16",50000,12,26
"17",50000,12,24
"18",50000,12,27
"19",50000,12,25
"20",50000,13,25
"21",1e+05,13,28
"22",1e+05,13,26
"23",1e+05,12,28
"24",1e+05,12,25
"25",1e+05,13,24
"26",1e+05,13,28
"27",1e+05,13,28
"28",1e+05,12,25
"29",1e+05,13,27
"30",1e+05,13,26
"31",2e+05,13,28
"32",2e+05,13,25
"33",2e+05,13,25
"34",2e+05,13,27
"35",2e+05,13,26
"36",2e+05,13,27
"37",2e+05,13,27
"38",2e+05,13,26
"39",2e+05,13,28
"40",2e+05,13,27
"41",5e+05,13,27
"42",5e+05,13,27
"43",5e+05,12,28
"44",5e+05,13,27
"45",5e+05,13,27
"46",5e+05,13,28
"47",5e+05,13,29
"48",5e+05,13,28
"49",5e+05,13,27
"50",5e+05,13,27
